tconst,nconst
tt0000574,nm0846879
tt0000941,nm0063413
tt0000941,nm0550220
tt0001614,nm1003261
tt0001614,nm0511155
tt0001790,nm0135052
tt0002026,nm0259235
tt0002452,nm0108345
tt0002461,nm0130633
tt0002588,nm0419327
tt0002642,nm0169878
tt0002844,nm0275421
tt0002917,nm0830249
tt0002973,nm0403439
tt0003015,nm0718121
tt0003037,nm0275421
tt0003131,nm0532622
tt0003159,nm0135052
tt0003419,nm0753233
tt0003665,nm0000428
tt0003740,nm0665163
tt0003930,nm0275421
tt0004121,nm0576901
tt0004150,nm0193327
tt0004181,nm0000428
tt0004712,nm0002031
tt0004743,nm0198523
tt0004873,nm0950148
tt0004972,nm0000428
tt0005059,nm0001124
tt0005339,nm0288616
tt0005575,nm0502752
tt0005809,nm0507150
tt0005916,nm0061955
tt0006182,nm0869665
tt0006333,nm0665737
tt0006375,nm0054977
tt0006375,nm0807742
tt0006386,nm0830249
tt0006715,nm0294276
tt0006819,nm0652650
tt0006864,nm0000428
tt0006886,nm0275421
tt0006903,nm0459319
tt0007111,nm0652650
tt0007111,nm0733208
tt0007154,nm0853336
tt0007168,nm0350695
tt0007183,nm0698839
tt0007340,nm0916665
tt0007459,nm0665163
tt0007522,nm0830249
tt0007640,nm0569261
tt0007646,nm0188105
tt0007755,nm0000406
tt0007801,nm0250053
tt0007841,nm0226992
tt0007881,nm0154267
tt0007910,nm0002031
tt0007958,nm0214496
tt0007963,nm0135052
tt0007986,nm0459319
tt0007998,nm0210352
tt0008122,nm0607378
tt0008161,nm0061955
tt0008161,nm0707564
tt0008177,nm0223460
tt0008239,nm0674600
tt0008279,nm0304098
tt0008305,nm0515979
tt0008395,nm0698839
tt0008395,nm0901502
tt0008411,nm0413045
tt0008411,nm0923594
tt0008411,nm0923603
tt0008536,nm0698839
tt0008563,nm0205986
tt0008678,nm0220230
tt0008678,nm0741082
tt0008687,nm0853336
tt0008710,nm0803705
tt0008754,nm0154352
tt0008843,nm0466099
tt0008845,nm0662032
tt0008891,nm0869665
tt0008993,nm0502752
tt0009014,nm0304098
tt0009062,nm0523932
tt0009096,nm0459319
tt0009111,nm0291387
tt0009116,nm0377126
tt0009145,nm0392709
tt0009275,nm0674600
tt0009325,nm0569645
tt0009452,nm0082914
tt0009608,nm0662032
tt0009682,nm0796657
tt0009694,nm0830249
tt0009717,nm0048478
tt0009771,nm0002031
tt0009862,nm0550892
tt0009878,nm0652650
tt0009893,nm0523932
tt0009905,nm0275421
tt0009968,nm0000428
tt0010000,nm0245385
tt0010113,nm0138156
tt0010137,nm0001124
tt0010180,nm0895048
tt0010203,nm0000485
tt0010219,nm0190516
tt0010237,nm0054011
tt0010247,nm0830249
tt0010281,nm0523932
tt0010307,nm0304098
tt0010323,nm0927468
tt0010386,nm0454535
tt0010501,nm0344583
tt0010598,nm0003433
tt0010600,nm0523932
tt0010754,nm0116307
tt0010791,nm0941782
tt0010793,nm0513617
tt0010795,nm0941562
tt0010871,nm0783369
tt0010969,nm0275494
tt0010994,nm0806605
tt0010995,nm0316794
tt0011031,nm0003638
tt0011045,nm0373367
tt0011114,nm0002233
tt0011216,nm0241273
tt0011217,nm0003638
tt0011221,nm0927468
tt0011237,nm0091380
tt0011252,nm0289741
tt0011252,nm0291838
tt0011294,nm0031134
tt0011302,nm0478303
tt0011348,nm0003638
tt0011361,nm0647652
tt0011369,nm0652302
tt0011371,nm0523932
tt0011454,nm0698839
tt0011607,nm0003433
tt0011608,nm0088881
tt0011641,nm0523932
tt0011650,nm0550892
tt0011651,nm0385171
tt0011654,nm0003638
tt0011732,nm0127511
tt0011756,nm0385171
tt0011837,nm0000485
tt0011841,nm0000428
tt0011845,nm0300487
tt0011870,nm0584778
tt0011904,nm0941637
tt0011923,nm0657928
tt0011960,nm0523932
tt0012017,nm0073239
tt0012205,nm0243295
tt0012249,nm0300544
tt0012249,nm0769942
tt0012337,nm0106950
tt0012365,nm0002031
tt0012494,nm0000485
tt0012538,nm0115218
tt0012631,nm0613600
tt0012675,nm0577654
tt0012709,nm0377126
tt0012740,nm0251456
tt0012807,nm0116307
tt0012938,nm0939992
tt0012973,nm0003638
tt0012979,nm0502752
tt0013086,nm0000485
tt0013122,nm0217526
tt0013201,nm0628345
tt0013274,nm0412842
tt0013274,nm0895048
tt0013284,nm0721840
tt0013367,nm0454535
tt0013373,nm0003638
tt0013386,nm0432216
tt0013386,nm0002233
tt0013388,nm0345500
tt0013427,nm0280904
tt0013442,nm0003638
tt0013571,nm0117065
tt0013579,nm0733208
tt0013619,nm0002031
tt0013688,nm0291387
tt0013710,nm0002271
tt0013728,nm0902304
tt0013741,nm0523932
tt0013830,nm0243295
tt0013891,nm0132926
tt0013933,nm0258477
tt0013966,nm0247358
tt0014069,nm0275421
tt0014174,nm0118266
tt0014181,nm0003226
tt0014186,nm0673375
tt0014191,nm0002031
tt0014209,nm0385171
tt0014262,nm0002209
tt0014301,nm0596410
tt0014320,nm0511399
tt0014323,nm0440261
tt0014339,nm0009257
tt0014397,nm0927468
tt0014400,nm0102908
tt0014408,nm0936767
tt0014416,nm0523932
tt0014416,nm0909825
tt0014417,nm0304098
tt0014424,nm0373511
tt0014428,nm0345500
tt0014428,nm0765673
tt0014446,nm0655065
tt0014447,nm0344583
tt0014516,nm0344583
tt0014532,nm0001124
tt0014538,nm0166836
tt0014577,nm0003490
tt0014586,nm0083532
tt0014586,nm0501902
tt0014641,nm0781292
tt0014646,nm0698839
tt0014762,nm0652650
tt0014764,nm0635341
tt0014764,nm0701955
tt0014797,nm0341185
tt0014797,nm0385642
tt0014821,nm0899217
tt0014900,nm0003638
tt0014917,nm0077943
tt0014972,nm0803705
tt0015006,nm0532622
tt0015006,nm0943313
tt0015014,nm0478303
tt0015016,nm0000406
tt0015036,nm0901502
tt0015039,nm0895048
tt0015052,nm0721840
tt0015064,nm0003638
tt0015109,nm0102908
tt0015123,nm0736610
tt0015156,nm0440261
tt0015157,nm0674398
tt0015167,nm0474487
tt0015174,nm0000485
tt0015175,nm0000485
tt0015202,nm0927468
tt0015213,nm0770703
tt0015214,nm0163229
tt0015263,nm0689471
tt0015284,nm0286379
tt0015359,nm0689471
tt0015361,nm0001178
tt0015532,nm0718201
tt0015532,nm0002569
tt0015624,nm0896542
tt0015624,nm0384276
tt0015626,nm0275494
tt0015648,nm0001178
tt0015685,nm0736610
tt0015692,nm0245385
tt0015745,nm0191899
tt0015771,nm0673375
tt0015794,nm0163229
tt0015801,nm0478303
tt0015835,nm0409949
tt0015835,nm0882160
tt0015842,nm0655065
tt0015847,nm0003226
tt0015861,nm0003433
tt0015881,nm0002233
tt0015896,nm0681726
tt0015907,nm0909436
tt0015944,nm0383304
tt0015997,nm0770703
tt0015998,nm0306723
tt0016001,nm0676470
tt0016039,nm0398464
tt0016051,nm0878338
tt0016110,nm0796657
tt0016112,nm0275220
tt0016142,nm0115218
tt0016157,nm0245385
tt0016174,nm0166836
tt0016220,nm0432216
tt0016220,nm0480677
tt0016220,nm0781292
tt0016226,nm0749484
